,Speed (OBD)(km/h),Absolute Throttle Position B(%),Torque(Nm),CO2_emission_g_per_km
666,90.0,31.76470566,35.01246091,136.8474732880185
667,90.0,31.76470566,35.01246091,133.11678066100473
668,89.0,31.76470566,35.01246091,147.7142241235609
669,90.0,31.37254906,33.58531801,161.5600250999703
670,89.0,31.37254906,33.58531801,155.06212334440886
671,89.0,32.15686417,33.58531801,155.06212334440886
672,88.0,32.15686417,33.58531801,154.5805768666762
683,83.0,33.33333206,17.83954743,165.73852604325268
685,84.0,33.33333206,17.83954743,162.33217640448015
689,87.0,37.25490189,38.02557215,169.56983958008473
690,87.0,34.50980377,18.38587336,148.27332397272224
691,88.0,34.50980377,18.38587336,141.28406046557316
692,88.0,31.76470566,18.40990135,132.77067005042943
693,88.0,30.98039246,18.40990135,132.119612817598
694,87.0,29.41176414,18.40990135,129.06546993167618
704,89.0,22.35294151,58.1386492,116.94510083375042
725,77.0,34.90196228,30.75294354,177.83366869486838
726,78.0,34.11764526,30.10204035,170.53312538574693
727,79.0,33.33333206,29.8391665,167.14174467451883
728,81.0,31.37254906,29.8391665,165.6965182766556
729,83.0,29.01960754,60.99532965,159.81467400189533
730,85.0,27.45098114,57.06520884,157.60499257577393
731,86.0,26.27450943,57.06520884,156.42654170811238
732,86.0,26.66666603,19.29867807,129.43706792368747
733,87.0,26.66666603,34.31177171,126.29224470005192
734,87.0,26.66666603,34.31177171,124.84060428701537
735,87.0,26.66666603,34.31177171,125.2235542083437
736,87.0,26.66666603,34.31177171,125.2235542083437
757,81.0,23.52941132,38.46003343,124.37313637201645
758,81.0,23.13725471,38.46003343,121.10746744203294
759,82.0,24.70588303,34.71038562,122.74449460229435
760,82.0,24.70588303,34.71038562,126.37866605954304
761,83.0,26.27450943,33.87040834,128.8253777666924
762,83.0,26.27450943,33.87040834,128.037110565792
763,83.0,24.70588303,33.87040834,123.42627304095014
766,84.0,23.52941132,18.21489364,121.89443243796978
767,84.0,25.49019623,18.21489364,121.89443243796978
768,84.0,26.27450943,18.21489364,127.950518610671
769,84.0,26.27450943,18.21489364,128.70528262882215
770,85.0,26.27450943,32.23227745,129.02874201291198
771,86.0,26.27450943,37.33547269,128.07905725357935
772,86.0,26.27450943,37.33547269,127.95887656803862
773,87.0,26.66666603,31.87048067,128.23970958502935
774,88.0,27.45098114,38.91122108,131.172820395732
775,88.0,29.01960754,38.91122108,131.172820395732
776,88.0,29.01960754,38.91122108,130.98121995738893
777,89.0,27.84313774,31.79695243,126.81871750879262
778,89.0,27.45098114,31.79695243,126.28578341911708
779,90.0,26.66666603,31.79695243,125.44352104353578
780,90.0,26.66666603,19.32151778,124.58641492228239
781,90.0,27.05882263,19.32151778,124.28451017445063
782,89.0,27.45098114,19.32151778,124.28451017445063
783,88.0,27.05882263,19.32151778,126.69747728350549
786,88.0,28.62745094,35.43739014,129.36477530578495
787,88.0,30.58823586,35.43739014,131.5032487826912
788,87.0,31.76470566,35.43739014,133.13713709823378
794,88.0,32.15686417,37.87775022,160.77346372894922
795,88.0,32.15686417,37.87775022,147.93925189138446
796,88.0,33.72549057,37.87775022,138.87896157747622
797,88.0,33.33333206,37.87775022,135.8575636509111
803,88.0,29.80392075,34.33277017,130.64125885288544
804,88.0,29.41176414,34.33277017,128.60426251116755
805,88.0,29.41176414,34.33277017,129.2428535682991
806,89.0,27.45098114,34.33277017,129.2428535682991
807,89.0,26.66666603,18.02563983,125.77117384661
808,90.0,26.66666603,39.8174573,125.13822126646605
809,90.0,26.27450943,39.8174573,124.5193250262981
810,90.0,27.84313774,39.8174573,126.67941396308642
811,90.0,27.05882263,39.8174573,126.67941396308642
812,91.0,26.27450943,30.28285469,125.72719267990851
813,92.0,25.49019623,37.16980465,125.24421096637525
814,93.0,25.49019623,34.26417864,122.99586047597313
815,94.0,25.49019623,39.21771846,121.54786043729409
816,95.0,25.49019623,31.65899615,122.3645378735643
817,96.0,25.49019623,35.04964009,122.7589753584127
818,96.0,25.88235283,35.04964009,123.36066150076525
819,95.0,26.27450943,35.04964009,123.3294706750008
820,95.0,27.05882263,35.04964009,123.3294706750008
833,93.0,32.94117737,39.42473434,132.835215274215
834,93.0,28.62745094,39.42473434,126.21609887467716
835,93.0,26.66666603,39.42473434,126.21609887467716
836,93.0,26.66666603,39.42473434,125.46169109855859
882,95.0,45.88235474,33.26205807,190.34366841893257
883,94.0,34.11764526,33.26205807,154.88556937218192
884,93.0,32.15686417,33.26205807,143.28367611515273
920,81.0,35.29411697,47.37793552,194.3455590656232
922,84.0,43.52941132,30.87924205,190.5064653235378
923,86.0,36.86274338,49.88948607,182.91942115151954
924,87.0,36.86274338,49.88948607,177.2170929933429
925,88.0,42.35293961,33.4799378,176.78964468252508
926,89.0,34.50980377,33.4799378,151.40105199928126
927,89.0,32.54901886,19.04015519,153.24118647366032
928,89.0,32.54901886,19.04015519,146.36368860932654
929,89.0,32.94117737,19.04015519,141.29328104931864
937,90.0,43.13725662,40.16049252,157.83623808771029
939,90.0,43.52941132,40.16049252,157.01282254356553
942,91.0,34.11764526,34.40046435,142.5452799574664
943,91.0,34.50980377,34.40046435,136.79135209372342
944,91.0,32.15686417,34.40046435,136.79135209372342
945,92.0,27.84313774,17.92204914,127.25841667052663
946,92.0,27.05882263,17.92204914,124.39071652432281
947,93.0,27.05882263,33.89892953,124.00068347527768
948,93.0,26.66666603,33.89892953,123.27826188515134
949,94.0,26.66666603,33.62494097,123.92134650235472
950,94.0,27.84313774,33.62494097,126.04015282419802
951,94.0,31.37254906,33.62494097,139.07363157998276
952,94.0,32.54901886,33.62494097,139.07363157998276
966,92.0,31.76470566,19.05230042,131.4096792453932
967,92.0,31.37254906,19.05230042,130.7370127210026
968,93.0,31.76470566,19.05230042,131.046173634188
969,94.0,31.76470566,39.90368547,130.860386786285
970,95.0,30.58823586,35.69014232,129.24015285906827
971,96.0,30.19607925,35.69014232,127.7917318149398
972,96.0,29.80392075,19.99508483,127.45910291666087
973,96.0,29.80392075,19.99508483,128.0066955606423
974,96.0,29.80392075,19.99508483,126.88674387954933
994,85.0,43.92156982,17.65339683,154.45525584949678
995,86.0,40.39215851,31.99539566,148.61320128882807
996,87.0,38.03921509,35.35956653,147.24193057404767
997,87.0,37.25490189,35.35956653,146.86186221998372
998,87.0,36.47058868,35.35956653,146.1537368349917
999,87.0,36.86274338,35.35956653,146.1537368349917
1013,86.0,33.72549057,19.75043593,139.91590568439284
1014,86.0,32.15686417,19.75043593,137.31941858650916
1015,87.0,26.27450943,19.75043593,131.12432503851738
1016,87.0,26.27450943,19.34097626,122.31151797455209
1017,88.0,24.70588303,34.56053108,123.33418217063118
1018,89.0,23.92156792,34.56053108,118.7042722718931
1019,89.0,23.92156792,19.09489472,116.45011117471003
1020,90.0,23.92156792,34.88581071,117.18130975688034
1021,90.0,23.92156792,34.88581071,116.60236018317671
1022,90.0,23.92156792,34.88581071,117.23111033506795
1023,90.0,23.92156792,34.88581071,117.04248873189175
1030,90.0,30.98039246,32.87987571,130.09913465271887
1031,90.0,31.37254906,32.87987571,135.93956334340035
1032,90.0,32.15686417,32.87987571,146.6950338218189
1035,92.0,33.33333206,35.49860893,140.58924392953244
1036,92.0,32.94117737,35.49860893,131.90165561595893
1039,92.0,43.52941132,31.74641389,158.46689422363485
1040,92.0,43.92156982,31.74641389,154.2307250241724
1041,92.0,34.11764526,31.74641389,135.93157382308726
1042,92.0,32.15686417,31.74641389,135.93157382308726
1054,87.0,23.13725471,30.89254453,114.95627615769459
1055,88.0,23.13725471,39.17557155,114.36724922174291
1056,88.0,23.13725471,39.17557155,113.85456197937214
1057,89.0,23.13725471,34.87656569,114.9247989937935
1058,90.0,23.13725471,34.87656569,116.6117963629633
1059,90.0,23.52941132,34.87656569,116.37548884659495
1060,91.0,22.74509811,38.37837993,116.37548884659495
1061,92.0,22.35294151,35.43118628,111.98424551962475
1062,93.0,22.74509811,35.43118628,111.7654637371081
1063,93.0,23.52941132,19.25599844,115.24475199291476
1064,94.0,23.92156792,35.58170026,116.45087490812942
1065,93.0,24.70588303,35.58170026,116.61705853727545
1066,93.0,24.70588303,35.58170026,123.48754944578995
1108,82.0,41.17647171,34.75580126,181.01659160253615
1109,82.0,30.19607925,34.75580126,139.03609732530342
1110,83.0,27.84313774,19.34854942,128.36652524361426
1111,83.0,27.05882263,19.34854942,124.50636913459316
1112,83.0,27.05882263,19.34854942,124.7249942897348
1113,84.0,27.05882263,30.00554052,123.61181176717412
1114,84.0,27.05882263,30.00554052,123.20821566290087
1115,85.0,27.05882263,31.56859674,123.20821566290087
1116,86.0,27.05882263,30.06056321,123.19715795682703
1118,89.0,25.88235283,31.03286184,121.36223988297479
1119,89.0,25.49019623,31.03286184,120.28863097995969
1120,90.0,25.09803963,36.34827602,120.28863097995969
1121,90.0,25.09803963,36.34827602,119.92312907298262
1122,90.0,26.27450943,36.34827602,120.50575325115454
1124,91.0,26.66666603,19.57189082,121.24741102125128
1125,90.0,28.62745094,19.57189082,122.739335451562
1126,90.0,28.62745094,19.57189082,127.6831505938392
1141,86.0,25.49019623,18.72773583,122.49059683481345
1142,87.0,25.49019623,35.03490496,120.92803670182897
1143,88.0,24.70588303,36.14161443,116.69307952140632
1144,89.0,21.1764698,32.04329646,99.75331284429706
1145,90.0,20.3921566,38.56158376,99.57827874241985
1146,90.0,20.3921566,38.56158376,99.57827874241985
1147,91.0,19.2156868,30.7294625,95.43717672350186
1148,91.0,19.2156868,30.7294625,78.43833819613077
1158,92.0,18.03921509,18.01420317,82.94068608880504
1159,92.0,21.56862831,18.01420317,82.94068608880504
1160,93.0,25.88235283,33.27718885,115.51580401366981
1161,93.0,26.66666603,33.27718885,122.29062167723737
1162,94.0,30.58823586,19.48716642,122.51314294567062
1163,94.0,30.58823586,19.48716642,130.3087337634073
1164,94.0,32.15686417,19.48716642,134.8939869418522
1179,87.0,40.7843132,34.02072061,165.47188640386793
1180,88.0,32.54901886,36.30377066,151.87730368961238
1181,88.0,28.23529434,36.30377066,140.88850455836297
1182,88.0,28.23529434,36.30377066,122.8763162375152
1183,89.0,26.27450943,30.15363916,124.83410670686305
1184,89.0,26.27450943,30.15363916,119.5165932101364
1185,89.0,24.31372643,30.15363916,117.34025541120327
1186,90.0,23.13725471,36.21144466,117.34025541120327
1187,91.0,22.74509811,35.5831717,114.09946111530564
1189,94.0,22.35294151,36.92093667,111.40612918397471
1190,94.0,22.35294151,36.92093667,110.10271869484308
1191,94.0,23.13725471,36.92093667,115.89817023431539
1223,88.0,46.27450943,34.12579826,158.29231534098753
1224,88.0,46.27450943,34.12579826,155.48326803274122
1225,89.0,44.70588303,31.78302155,153.27290099014002
1226,89.0,33.33333206,31.78302155,136.27806816637
1227,89.0,29.01960754,31.78302155,124.9704573235881
1228,89.0,29.01960754,31.78302155,124.9704573235881
1238,88.0,27.05882263,35.02032499,123.97789373308487
1239,89.0,27.05882263,35.02032499,122.21764963326889
1240,90.0,27.05882263,40.75904697,121.67485034797855
1241,90.0,27.05882263,40.75904697,122.86882846053186
1242,90.0,27.05882263,40.75904697,123.20108719129529
1243,90.0,27.45098114,40.75904697,123.20108719129529
